scheme_code,isin,scheme_name,nav,date,amc,category,aum_crore,expense_ratio,1y,3y,5y,volatility,sharpe,ranking_score,risk
115934,INF179K01LC5,HDFC Gold ETF Fund of Fund - Growth Option,39.6486,23-Mar-2026,HDFC Mutual Fund,Gold,18839.84,0.54,51.67,29.57,23.28,17.3,1.36,17.354,high
153011,INF0R8F01083,Zerodha Gold ETF FoF-Direct Plan - Growth Option,17.5424,23-Mar-2026,Zerodha Mutual Fund,Gold,1130.82,2.41,51.67,29.57,23.28,17.3,1.36,17.354,high
150715,INF789F1AWA1,UTI Gold ETF Fund of Fund - Regular Plan - Growth Opton,25.5706,23-Mar-2026,UTI Mutual Fund,Gold,3352.3,0.53,51.67,29.57,23.28,17.3,1.36,17.354,high
150714,INF789F1AWB9,UTI Gold ETF Fund of Fund - Direct Plan - Growth Option,25.9484,23-Mar-2026,UTI Mutual Fund,Gold,1617.2,1.24,51.67,29.57,23.28,17.3,1.36,17.354,high
153341,INF582M01KU0,Union Gold ETF Fund of Fund - Regular Plan - IDCW Option,15.2851,23-Mar-2026,Union Mutual Fund,Gold,2012.84,1.02,51.67,29.57,23.28,17.3,1.36,17.354,high
153338,INF582M01KT2,Union Gold ETF Fund of Fund - Regular Plan - Growth Option,15.2851,23-Mar-2026,Union Mutual Fund,Gold,3481.37,0.71,51.67,29.57,23.28,17.3,1.36,17.354,high
153339,INF582M01KW6,Union Gold ETF Fund of Fund - Direct Plan - IDCW Option,15.3285,23-Mar-2026,Union Mutual Fund,Gold,1061.55,1.38,51.67,29.57,23.28,17.3,1.36,17.354,high
153340,INF582M01LA0,Union Gold ETF Fund of Fund - Direct Plan - Growth Option,15.3285,23-Mar-2026,Union Mutual Fund,Gold,3599.18,1.08,51.67,29.57,23.28,17.3,1.36,17.354,high
154134,INF2F0001396,THE WEALTH COMPANY GOLD ETF FOF REGULAR IDCW,8.6196,23-Mar-2026,The Wealth Company Mutual Fund,Gold,2477.75,1.08,51.67,29.57,23.28,17.3,1.36,17.354,high
154133,INF2F0001388,THE WEALTH COMPANY GOLD ETF FOF REGULAR GROWTH,8.6196,23-Mar-2026,The Wealth Company Mutual Fund,Gold,4143.16,0.55,51.67,29.57,23.28,17.3,1.36,17.354,high
154131,INF2F0001412,THE WEALTH COMPANY GOLD ETF FOF DIRECT GROWTH,8.625,23-Mar-2026,The Wealth Company Mutual Fund,Gold,2288.77,0.96,51.67,29.57,23.28,17.3,1.36,17.354,high
115677,INF200K01HB9,SBI Gold Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),38.894,23-Mar-2026,SBI Mutual Fund,Gold,16964.74,2.22,51.67,29.57,23.28,17.3,1.36,17.354,high
120685,INF109K01U92,ICICI Prudential Gold ETF FOF - Direct Plan - Growth,42.3647,23-Mar-2026,ICICI Prudential Mutual Fund,Gold,49192.34,0.78,51.67,29.57,23.28,17.3,1.36,17.354,high
152291,-,Tata Gold ETF Fund of Fund Regular Plan IDCW Reinvestment Option,20.4557,23-Mar-2026,Tata Mutual Fund,Gold,4070.27,1.54,51.67,29.57,23.28,17.3,1.36,17.354,high
152286,INF277KA1851,Tata Gold ETF Fund of Fund Regular Plan IDCW Payout Option,20.4557,23-Mar-2026,Tata Mutual Fund,Gold,221.02,1.4,51.67,29.57,23.28,17.3,1.36,17.354,high
152290,INF277KA1901,Tata Gold ETF Fund of Fund Regular Plan Growth Option,20.4557,23-Mar-2026,Tata Mutual Fund,Gold,3284.33,1.49,51.67,29.57,23.28,17.3,1.36,17.354,high
152289,-,Tata Gold ETF Fund of Fund Direct Plan IDCW Reinvestment Option,20.6848,23-Mar-2026,Tata Mutual Fund,Gold,2176.66,1.07,51.67,29.57,23.28,17.3,1.36,17.354,high
152288,INF277KA1885,Tata Gold ETF Fund of Fund Direct Plan IDCW Payout Option,20.6848,23-Mar-2026,Tata Mutual Fund,Gold,1502.67,0.91,51.67,29.57,23.28,17.3,1.36,17.354,high
152287,INF277KA1869,Tata Gold ETF Fund of Fund Direct Plan Growth Option,20.6848,23-Mar-2026,Tata Mutual Fund,Gold,4881.77,2.06,51.67,29.57,23.28,17.3,1.36,17.354,high
120686,INF109K01U76,ICICI Prudential Gold ETF FOF - Direct Plan - IDCW,42.3687,23-Mar-2026,ICICI Prudential Mutual Fund,Gold,44048.35,0.75,51.67,29.57,23.28,17.3,1.36,17.354,high
115833,INF109K01TK8,ICICI Prudential Gold ETF FOF - Growth,40.8422,23-Mar-2026,ICICI Prudential Mutual Fund,Gold,45345.3,2.23,51.67,29.57,23.28,17.3,1.36,17.354,high
119788,INF200K01RP8,SBI GOLD FUND- DIRECT PLAN - GROWTH,40.7502,23-Mar-2026,SBI Mutual Fund,Gold,18467.25,2.46,51.67,29.57,23.28,17.3,1.36,17.354,high
115676,INF200K01HA1,SBI GOLD FUND REGULAR PLAN - GROWTH,38.8881,23-Mar-2026,SBI Mutual Fund,Gold,52292.18,0.61,51.67,29.57,23.28,17.3,1.36,17.354,high
153827,INF1J2R01098,ANGEL ONE GOLD ETF FOF- DIRECT GROWTH,12.2453,23-Mar-2026,Angel One Mutual Fund,Gold,293.83,0.75,51.67,29.57,23.28,17.3,1.36,17.354,high
153010,INF769K01MT5,Mirae Asset Gold ETF Fund of Fund - Regular Plan - IDCW,16.833,23-Mar-2026,Mirae Asset Mutual Fund,Gold,3243.74,2.04,51.67,29.57,23.28,17.3,1.36,17.354,high
116795,INF209K01PG2,Aditya Birla Sun Life Gold Fund-REGULAR - IDCW,38.788,23-Mar-2026,Aditya Birla Sun Life Mutual Fund,Gold,4029.38,1.95,51.67,29.57,23.28,17.3,1.36,17.354,high
120546,INF209K01YU5,Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,40.4059,23-Mar-2026,Aditya Birla Sun Life Mutual Fund,Gold,1386.3,0.69,51.67,29.57,23.28,17.3,1.36,17.354,high
116796,INF209K01PF4,Aditya Birla Sun Life Gold Fund-Growth,38.79,23-Mar-2026,Aditya Birla Sun Life Mutual Fund,Gold,1231.8,2.1,51.67,29.57,23.28,17.3,1.36,17.354,high
120545,INF209K01YT7,Aditya Birla Sun Life Gold Fund-DIRECT - IDCW,40.4047,23-Mar-2026,Aditya Birla Sun Life Mutual Fund,Gold,356.5,1.98,51.67,29.57,23.28,17.3,1.36,17.354,high
153077,INF680P01463,Shriram Multi Sector Rotation Fund - Regular Plan Growth Option,7.0048,23-Mar-2026,Shriram Mutual Fund,Sectoral,3068.89,0.87,0.74,20.82,17.77,16.15,0.92,12.228,high
148471,INF955L01JR8,Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option,24.0213,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Mid Cap,2036.26,0.54,0.74,20.82,17.77,16.15,0.92,12.228,high
148475,INF955L01JV0,Baroda BNP Paribas Large and Mid Cap Fund-Direct Plan-IDCW Option,19.9485,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Mid Cap,4832.16,1.22,0.74,20.82,17.77,16.15,0.92,12.228,high
152002,INF397L01JK8,LIC MF Mid Cap Fund-Direct Plan-Growth,28.3054,23-Mar-2026,LIC Mutual Fund,Mid Cap,664.22,1.84,0.74,20.82,17.77,16.15,0.92,12.228,high
151999,INF397L01JH4,LIC MF Mid Cap Fund-Direct Plan-IDCW,26.5924,23-Mar-2026,LIC Mutual Fund,Mid Cap,4428.04,2.0,0.74,20.82,17.77,16.15,0.92,12.228,high
152001,INF397L01JO0,LIC MF Mid Cap Fund-Regular Plan-Growth,25.1339,23-Mar-2026,LIC Mutual Fund,Mid Cap,2132.65,0.88,0.74,20.82,17.77,16.15,0.92,12.228,high
152000,INF397L01JL6,LIC MF Mid Cap Fund-Regular Plan-IDCW,23.5886,23-Mar-2026,LIC Mutual Fund,Mid Cap,1997.64,0.82,0.74,20.82,17.77,16.15,0.92,12.228,high
148474,INF955L01JU2,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,26.0305,23-Mar-2026,Baroda BNP Paribas Mutual Fund,Mid Cap,4893.94,1.69,0.74,20.82,17.77,16.15,0.92,12.228,high
142108,INF174V01523,Mahindra Manulife Mid Cap Fund - Direct Plan - IDCW,26.6011,23-Mar-2026,Mahindra Manulife Mutual Fund,Mid Cap,3332.48,0.97,0.74,20.82,17.77,16.15,0.92,12.228,high
142110,INF174V01507,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,35.0604,23-Mar-2026,Mahindra Manulife Mutual Fund,Mid Cap,2265.96,1.23,0.74,20.82,17.77,16.15,0.92,12.228,high
142109,INF174V01473,Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,30.6921,23-Mar-2026,Mahindra Manulife Mutual Fund,Mid Cap,3276.34,2.09,0.74,20.82,17.77,16.15,0.92,12.228,high
142107,INF174V01499,Mahindra Manulife Mid Cap Fund- Regular Plan - IDCW,22.5327,23-Mar-2026,Mahindra Manulife Mutual Fund,Mid Cap,401.09,1.98,0.74,20.82,17.77,16.15,0.92,12.228,high
118666,INF204K01E39,NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option,163.5254,23-Mar-2026,Nippon India Mutual Fund,Mid Cap,2067.16,1.79,0.74,20.82,17.77,16.15,0.92,12.228,high
118665,INF204K01E21,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,700.4063,23-Mar-2026,Nippon India Mutual Fund,Mid Cap,1756.61,1.15,0.74,20.82,17.77,16.15,0.92,12.228,high
